,Product Name,Price,Prod_Date,Brand
0,JOOLA Anna Bright Scorpeus CFS 14 Pickleball Paddle,$249.95,2023-07-24,JOOLA
1,JOOLA Collin Johns Scorpeus CFS 16 Pickleball Paddle,$249.95,2023-07-24,JOOLA
2,JOOLA Ben Johns Perseus CFS 16 Pickleball Paddle,$249.95,2023-07-24,JOOLA
3,JOOLA Ben Johns Perseus CFS 14 Pickleball Paddle,$249.95,2023-07-24,JOOLA
4,JOOLA Simone Jardim Hyperion CFS 16 Swift Pickleball Paddle,$219.95,2023-07-24,JOOLA
5,JOOLA Simone Jardim Hyperion CFS 16 Pickleball Paddle,$219.95,2023-07-24,JOOLA
6,JOOLA Simone Jardim Hyperion CFS 14 Swift Pickleball Paddle,$219.95,2023-07-24,JOOLA
7,JOOLA Ben Johns Hyperion CFS 16 Swift Pickleball Paddle,$219.95,2023-07-24,JOOLA
8,JOOLA Ben Johns Hyperion CFS 14 Swift Pickleball Paddle,$219.95,2023-07-24,JOOLA
9,JOOLA Ben Johns Hyperion CFS 14 Pickleball Paddle,$219.95,2023-07-24,JOOLA
10,JOOLA Ben Johns Hyperion CFS 16 Pickleball Paddle,$219.95,2023-07-24,JOOLA
11,JOOLA Ben Johns Hyperion CGS 16 Pickleball Paddle,$199.95,2023-07-24,JOOLA
12,JOOLA Ben Johns Hyperion CGS 14 Pickleball Paddle,$199.95,2023-07-24,JOOLA
13,JOOLA Solaire CFS 14 Swift Pickleball Paddle,$189.95,2023-07-24,JOOLA
14,JOOLA Solaire CFS 14 Pickleball Paddle,$189.95,2023-07-24,JOOLA
15,JOOLA Radius CGS 14 Pickleball Paddle,$179.95,2023-07-24,JOOLA
16,JOOLA Radius CGS 16 Pickleball Paddle,$179.95,2023-07-24,JOOLA
17,JOOLA Vision CGS 16 Pickleball Paddle,$169.95,2023-07-24,JOOLA
18,JOOLA Vision CGS 14 Pickleball Paddle,$169.95,2023-07-24,JOOLA
19,JOOLA Ben Johns Hyperion CAS 16 Pickleball Paddle,$159.95,2023-07-24,JOOLA
20,JOOLA Ben Johns Hyperion CAS 13.5 Pickleball Paddle,$159.95,2023-07-24,JOOLA
21,JOOLA Method CGS 12 Pickleball Paddle,$159.95,2023-07-24,JOOLA
22,JOOLA Solaire FAS 13 Pickleball Paddle,$149.95,2023-07-24,JOOLA
23,JOOLA Stand Up To Cancer Pickleball Paddle,$129.95,2023-07-24,JOOLA
24,JOOLA Seneca CDS 16 Pickleball Paddle,$129.95,2023-07-24,JOOLA
25,JOOLA Essentials Pickleball Paddles & Balls Set,$129.95,2023-07-24,JOOLA
26,JOOLA Seneca FDS 14 Pickleball Paddle,$99.95,2023-07-24,JOOLA
27,JOOLA Ben Johns Blue Lightning Pickleball Paddle Set,$79.95,2023-07-24,JOOLA
28,JOOLA Journey Pickleball Paddle,$69.95,2023-07-24,JOOLA
29,JOOLA Essentials Pickleball Paddle,$59.95,2023-07-24,JOOLA
30,JOOLA Megalodon Junior Pickleball Paddle,$49.95,2023-07-24,JOOLA
31,JOOLA Ben Johns Junior Pickleball Paddle,$49.95,2023-07-24,JOOLA
